a b c d e f g h i
291 -999 -0.1908 -0.5538 0.1253 -999 -0.1486 -0.4424 0.0737
292 -999 -0.1154 -0.4788 0.2467 -999 -0.1468 -0.4388 0.0755
293 -999 -0.2424 -0.6469 0.0668 -999 -0.1455 -0.436 0.0771
294 -999 -0.255 -0.6317 0.0183 -999 -0.1437 -0.4334 0.0791
295 -999 -0.2017 -0.5489 0.1032 -999 -0.1421 -0.4308 0.0816
296 -999 -0.1697 -0.5103 0.1224 -999 -0.1403 -0.4271 0.0839
297 -999 -0.1162 -0.4896 0.2014 -999 -0.1386 -0.4245 0.0851
298 -999 -0.2261 -0.6539 0.0852 -999 -0.1369 -0.4218 0.0863
299 -999 -0.1571 -0.5481 0.174 -999 -0.1353 -0.4179 0.0886
300 -999 -0.1555 -0.5116 0.1123 -999 -0.134 -0.4166 0.0895
301 -999 -0.1338 -0.5238 0.1669 -999 -0.1329 -0.4129 0.0914
302 -999 -0.0752 -0.463 0.3072 -999 -0.1321 -0.4113 0.0927
303 -999 -0.0787 -0.4689 0.2612 -999 -0.1314 -0.4093 0.0931
304 -999 -0.1066 -0.4958 0.1914 -999 -0.1312 -0.4085 0.0944
305 -999 -0.1281 -0.5021 0.1649 -999 -0.1313 -0.4059 0.0949
306 -999 -0.0683 -0.4398 0.2212 -999 -0.1314 -0.4043 0.0952
307 -999 -0.102 -0.4822 0.1758 -999 -0.1317 -0.4034 0.0965
308 -999 -0.0951 -0.4926 0.2831 -999 -0.1328 -0.4029 0.0968
309 -999 -0.1309 -0.506 0.1497 -999 -0.1343 -0.4025 0.0965
310 -999 -0.105 -0.4669 0.1906 -999 -0.1358 -0.4026 0.0962
311 -999 -0.1309 -0.5129 0.168 -999 -0.1379 -0.4025 0.0962
312 -999 -0.1461 -0.5128 0.1223 -999 -0.1404 -0.4036 0.096
313 -999 -0.1574 -0.5337 0.1422 -999 -0.1432 -0.4044 0.0958
314 -999 -0.0668 -0.4473 0.2481 -999 -0.1463 -0.4056 0.0948
315 -999 -0.1432 -0.5174 0.1291 -999 -0.1497 -0.4089 0.0938
316 -999 -0.0969 -0.454 0.3077 -999 -0.1529 -0.4125 0.0917
317 -999 -0.1039 -0.4814 0.2372 -999 -0.1566 -0.4154 0.0896
318 -999 -0.147 -0.5154 0.1591 -999 -0.1599 -0.4174 0.0879
319 -999 -0.222 -0.586 0.0783 -999 -0.1637 -0.4206 0.0848
320 -999 -0.273 -0.6399 0.0345 -999 -0.1674 -0.4222 0.0822
321 -999 -0.2877 -0.6978 0.0927 -999 -0.1713 -0.4257 0.0797
322 -999 -0.1997 -0.5479 0.1301 -999 -0.175 -0.4298 0.0782
323 -999 -0.1598 -0.5388 0.1679 -999 -0.1786 -0.435 0.0755
324 -999 -0.1106 -0.5219 0.2713 -999 -0.1822 -0.4404 0.0725
325 -999 -0.1995 -0.576 0.0834 -999 -0.1856 -0.4445 0.0696
326 -999 -0.2692 -0.6409 0.0674 -999 -0.1889 -0.4487 0.0676
327 -999 -0.2267 -0.5738 0.0858 -999 -0.1921 -0.4526 0.0641
328 -999 -0.2537 -0.6328 0.0906 -999 -0.1951 -0.4588 0.062
329 -999 -0.2128 -0.5859 0.1209 -999 -0.198 -0.4644 0.0597
