481505.45200949	-1621170.78095114	163.458004662 -74.5260293815 26.188 58476.6824306
481505.45448450	-1621170.78223470	163.458004594 -74.526029364 26.191 58476.6826042
481505.45164420	-1621170.77951391	163.45800466 -74.5260293949 26.19 58476.6827778
481505.45302500	-1621170.78074180	163.458004627 -74.5260293807 26.189 58476.6829514
481505.45300094	-1621170.77547735	163.458004577 -74.5260294264 26.194 58476.683125
481505.45295287	-1621170.78122463	163.458004634 -74.5260293767 26.184 58476.6832986
481505.45171403	-1621170.78120038	163.458004674 -74.5260293801 26.184 58476.6834722
481505.45354423	-1621170.78186799	163.458004621 -74.5260293696 26.184 58476.6836458
481505.45264821	-1621170.78206491	163.458004652 -74.5260293702 26.183 58476.6838194
481505.45476704	-1621170.78111261	163.458004574 -74.526029373 26.187 58476.6839931
481505.45441193	-1621170.78157567	163.45800459 -74.5260293699 26.184 58476.6841667
481505.45236752	-1621170.77987584	163.45800464 -74.5260293899 26.183 58476.6843403
481505.45182451	-1621170.78229802	163.458004681 -74.5260293703 26.188 58476.6845139
481505.44938184	-1621170.78330037	163.45800477 -74.5260293679 26.19 58476.6846875
481505.45228062	-1621170.78279699	163.458004671 -74.5260293648 26.183 58476.6848611
481505.45230185	-1621170.78079509	163.458004651 -74.5260293821 26.185 58476.6850347
481505.45405689	-1621170.78224635	163.458004608 -74.526029365 26.176 58476.6852083
481505.45205789	-1621170.78412048	163.458004691 -74.5260293539 26.187 58476.6853819
481505.45601310	-1621170.78354557	163.458004557 -74.5260293487 26.183 58476.6855556
481505.45375332	-1621170.78588936	163.458004653 -74.5260293342 26.179 58476.6857292
481505.45606400	-1621170.78506464	163.45800457 -74.5260293354 26.186 58476.6859028
481505.45443711	-1621170.78166047	163.45800459 -74.5260293691 26.179 58476.6860764
481505.45457366	-1621170.78512662	163.458004619 -74.5260293387 26.182 58476.68625
481505.45517137	-1621170.78589499	163.458004607 -74.5260293305 26.181 58476.6864236
481505.45431917	-1621170.78561748	163.458004632 -74.5260293351 26.172 58476.6865972
481505.45526481	-1621170.78361787	163.458004582 -74.52602935 26.172 58476.6867708
481505.45555155	-1621170.78520531	163.458004588 -74.5260293355 26.178 58476.6869444
481505.45564612	-1621170.78583473	163.458004591 -74.5260293298 26.17 58476.6871181
481505.45209789	-1621170.78187077	163.458004668 -74.5260293733 26.17 58476.6872917
481505.45538231	-1621170.78660520	163.458004607 -74.5260293238 26.175 58476.6874653
481505.45492903	-1621170.78528639	163.458004609 -74.5260293364 26.174 58476.6876389
481505.45204255	-1621170.78510553	163.458004701 -74.5260293454 26.166 58476.6878125
481505.45394904	-1621170.78789603	163.458004666 -74.5260293163 26.173 58476.6879861
481505.45235069	-1621170.78510629	163.458004691 -74.5260293446 26.178 58476.6881597
481505.45536669	-1621170.78686361	163.45800461 -74.5260293216 26.162 58476.6883333
481505.45298266	-1621170.78505701	163.45800467 -74.5260293434 26.171 58476.6885069
481505.45473080	-1621170.78493000	163.458004612 -74.52602934 26.169 58476.6886806
481505.45581613	-1621170.78640713	163.458004591 -74.5260293244 26.172 58476.6888542
481505.45443296	-1621170.78714094	163.458004643 -74.5260293216 26.169 58476.6890278
481505.45591728	-1621170.78778439	163.458004601 -74.5260293122 26.169 58476.6892014
481505.45519974	-1621170.78609419	163.458004608 -74.5260293287 26.161 58476.689375
481505.45707753	-1621170.78785505	163.458004564 -74.5260293086 26.165 58476.6895486
481505.45301975	-1621170.78341953	163.458004653 -74.5260293575 26.168 58476.6897222
481505.45228498	-1621170.78592174	163.458004701 -74.5260293377 26.169 58476.6898958
481505.45242665	-1621170.78639875	163.458004701 -74.5260293332 26.173 58476.6900694
481505.45260232	-1621170.78533147	163.458004685 -74.526029342 26.169 58476.6902431
481505.45433148	-1621170.78493324	163.458004625 -74.526029341 26.17 58476.6904167
481505.45343033	-1621170.78811931	163.458004685 -74.5260293157 26.165 58476.6905903
481505.45548959	-1621170.78758843	163.458004613 -74.526029315 26.162 58476.6907639
481505.45744702	-1621170.78391562	163.458004514 -74.5260293418 26.168 58476.6909375
481505.45465657	-1621170.78810116	163.458004645 -74.5260293127 26.165 58476.6911111
481505.45720621	-1621170.78725161	163.458004554 -74.5260293135 26.176 58476.6912847
481505.45460539	-1621170.78585546	163.458004625 -74.5260293323 26.168 58476.6914583
481505.45420374	-1621170.78792420	163.458004658 -74.5260293154 26.176 58476.6916319
481505.45500127	-1621170.78511497	163.458004605 -74.5260293377 26.173 58476.6918056
481505.45546541	-1621170.78201256	163.45800456 -74.5260293634 26.175 58476.6919792
481505.45130701	-1621170.78563545	163.45800473 -74.5260293427 26.174 58476.6921528
481505.45454840	-1621170.78483421	163.458004617 -74.5260293413 26.177 58476.6923264
481505.45550707	-1621170.78401886	163.458004578 -74.5260293459 26.177 58476.6925
481505.45371061	-1621170.78118414	163.458004609 -74.5260293751 26.183 58476.6926736
481505.45573395	-1621170.78530109	163.458004583 -74.5260293342 26.169 58476.6928472
481505.45389705	-1621170.78357423	163.458004626 -74.5260293539 26.175 58476.6930208
481505.45558804	-1621170.78201075	163.458004556 -74.5260293631 26.173 58476.6931944
481505.45363186	-1621170.78081533	163.458004608 -74.5260293785 26.179 58476.6933681
481505.45211388	-1621170.78254660	163.458004674 -74.5260293674 26.176 58476.6935417
481505.45366068	-1621170.78215639	163.45800462 -74.5260293668 26.18 58476.6937153
481505.45331796	-1621170.78214283	163.458004631 -74.5260293678 26.168 58476.6938889
481505.45217305	-1621170.78108712	163.458004658 -74.5260293799 26.184 58476.6940625
481505.45336684	-1621170.77847165	163.458004594 -74.5260293995 26.185 58476.6942361
481505.45236013	-1621170.77705190	163.458004613 -74.5260294144 26.176 58476.6944097
481505.45341390	-1621170.77821543	163.45800459 -74.5260294016 26.166 58476.6945833
